Label,Frequency,Kept_as_Feature
scope: curriculum,708,True
s-waiting-on-bors,683,True
status: waiting review,662,True
platform: learn,457,True
author ready,450,True
t-compiler,426,True
full stack cert,403,True
scope: i18n,376,True
needs-ci,374,True
lgtm,351,True
size:xs,320,True
engine,253,True
🤖:docs,244,True
merged-by-bors,210,True
community,177,True
t-libs,173,True
autosubmit,169,True
tool,169,True
dependencies,164,True
cq1,161,True
framework,153,True
commit-queue-squash,132,True
doc,129,True
t-bootstrap,128,True
size:s,120,True
dont-land-on-v20.x,112,True
a-testsuite,108,True
size:m,107,True
size:l,107,True
🤖:nit,103,True
tests,101,True
c++,89,True
🤖:bug,81,True
scope: tools/scripts,80,True
test,80,True
t-rustdoc,79,True
🤖:release,75,True
rollup,73,True
f: material design,72,True
c++ interop,67,True
dont-land-on-v18.x,59,True
meta,59,True
ɑ: vector store,55,True
build system,54,True
branchautomerge,52,True
perf-regression,46,True
a-compiletest,46,True
run-slow,45,True
d: examples,44,True
lib / src,44,True
fast-track,43,True
docs,43,True
tools,43,True
a-run-make,40,True
platform: api,39,True
crowdin-sync,39,True
d: api docs,39,True
new javascript course,39,True
t-infra,37,True
backported-to-v22.x,35,True
build,35,True
langchain,34,True
semver-minor,34,True
new english course,33,True
a: text input,33,True
lts-watch-v20.x,32,True
perf-regression-triaged,32,True
ɑ:  core,31,True
module,31,True
test_runner,30,True
esm,29,True
dont-land-on-v22.x,29,True
a-meta,29,True
skip-verify-files,28,True
vision,28,True
fs,27,True
status: ready-for-review,27,True
refactoring,27,True
swift 6.1,27,True
util,27,True
status: waiting update,25,True
a: desktop,24,True
size:xl,24,True
ɑ: doc loader,24,True
sqlite,22,True
ɑ: embeddings,22,True
f: scrolling,21,True
wg-trait-system-refactor,21,True
size:xxl,20,True
will affect goldens,20,True
a: tests,19,True
a-rustdoc-json,19,True
crypto,19,True
github_actions,19,True
strip-types,18,True
backport-requested-v20.x,17,True
notable-change,17,True
f: cupertino,17,True
lts-watch-v18.x,16,True
ci-spurious-fail-msvc,16,True
o-windows,16,True
o-unix,16,True
bug,16,True
c: flake,15,True
🍒 release cherry pick,15,True
ci-spurious-fail-mingw,15,True
d: docs/,15,True
backport-requested-v22.x,15,True
disposition-merge,15,True
t-libs-api,15,True
finished-final-comment-period,15,True
webgpu,15,True
buffer,14,True
needs-review,14,True
open source,14,True
a-code-coverage,14,True
release,13,True
type: code-quality,13,True
llvm-main,13,True
scope: ui,13,True
relnotes,13,True
a: accessibility,13,True
windows,13,True
cp: review,13,True
warning: land on red to fix tree breakage,13,True
v8 engine,13,True
semver-major,12,True
javascript,12,True
web-standards,12,True
project: gsoc,12,True
processing,12,True
submodules,12,True
commit-queue-failed,11,True
jabcon,11,True
errors,11,True
to-announce,11,True
platform-ios,11,True
f: integration_test,11,True
openoffice/libreoffice,11,True
platform-android,11,True
ui,10,True
backport-open-v22.x,10,True
utils/log/libs,10,True
ɑ: text splitters,10,True
v22.x,10,True
webcrypto,10,True
experimental,10,True
benchmark,9,False
ci failed,9,False
pg-exploit-mitigations,9,False
a-query-system,8,False
new model,8,False
cp: beta,8,False
f: routes,8,False
backport,8,False
ɑ: retriever,8,False
multimodal,8,False
beta-accepted,8,False
tsl,8,False
validation,8,False
a-pretty,8,False
beta-nominated,8,False
cli,8,False
assert,8,False
process,8,False
permission,8,False
deprecations,8,False
python,8,False
needs-benchmark-ci,8,False
v23.x,7,False
documentation,7,False
review wanted,7,False
executorch,7,False
webgl backend,7,False
backport-blocked-v20.x,7,False
backported-to-v18.x,7,False
topic: not user facing,7,False
cares,7,False
backport-open-v20.x,7,False
revert,7,False
t-release,6,False
a-docs,6,False
c: tech-debt,6,False
status: merge conflict,6,False
new python course,6,False
path,6,False
net,6,False
partner,6,False
http2,6,False
good to merge,6,False
baking-for-lts,6,False
p2p,6,False
type: documentation,6,False
stream,6,False
coverage,6,False
s-waiting-on-review,5,False
http,5,False
quic,5,False
revert of,5,False
optimization,5,False
agents,5,False
web streams,5,False
refactor,5,False
needs-citgm,5,False
hot fix,5,False
a: internationalization,5,False
preferences,5,False
odin project,5,False
t-types,5,False
f-default_field_values,5,False
type: enhancement,5,False
🤖:improvement,5,False
zlib,5,False
s-waiting-on-author,5,False
dont-land-on-v23.x,5,False
ciflow/inductor,5,False
stale,4,False
utxo db and indexes,4,False
team,4,False
type: feature,4,False
search,4,False
typings,4,False
child_process,4,False
timers,4,False
os,4,False
f: gestures,4,False
rpc/rest/zmq,4,False
addons,4,False
f: focus,4,False
autodiff,4,False
a: animation,4,False
cp: stable,4,False
t-lang,4,False
run-benchmark,4,False
embedding,4,False
o-powerpc,4,False
trainer,4,False
report,4,False
o-wasi,4,False
perf_hooks,4,False
wallet,4,False
worker,4,False
node-api,4,False
o-hermit,4,False
platform-web,4,False
quantization,4,False
