pr_number,created_at,merged_at,author,number_of_comments,number_of_review_comments,number_of_commits,lines_of_code_changed,number_of_files_changed,number_of_reviewers,number_of_approvals,labels,time_to_first_response,number_of_assignees,review_duration,number_of_changes_requested,number_of_linked_issues,time_since_last_commit,number_of_reviews_requested,number_of_revisions,number_of_milestones,comment_authors,issue_comments_text,reviews_text,issue_text,review_comments
7308,2024-09-10T13:07:38Z,2024-09-10T13:49:46Z,igorkorsukov,0,0,1,9,2,1,1,[],,0,2528.0,0,0,9493.363903,0,1,0,[],,,,
7303,2024-09-10T12:15:27Z,2024-09-10T12:42:48Z,igorkorsukov,0,0,1,9,1,1,1,[],,0,1641.0,0,0,13512.070402,0,1,0,[],,,,
7301,2024-09-10T10:27:20Z,2024-09-10T13:13:54Z,grliszas14,0,0,2,40,1,1,1,[],,0,9998.0,0,0,11642.102624,0,2,0,[],,,Resolves: https://github.com/audacity/audacity/issues/7298,
7288,2024-09-09T13:13:46Z,2024-09-09T14:53:04Z,LWinterberg,0,0,1,12,3,1,1,[],,0,5961.0,0,0,92093.184657,0,1,0,[],,,,
7295,2024-09-10T08:53:37Z,2024-09-10T09:58:23Z,grliszas14,0,0,1,2,1,1,1,[],,0,3890.0,0,0,23373.188585,0,1,0,[],,,,
7286,2024-09-09T11:14:29Z,2024-09-09T12:47:07Z,kryksyh,0,0,1,4,1,1,1,[],,1,5564.0,0,0,99647.21806,1,1,0,[],,,"Resolves: -

Bump upload/download artifact build action versions for actions missed in the previous PR

<!-- Use ""x"" to fill the checkboxes below like [x] -->

- [x] I signed [CLA](https://www.audacityteam.org/cla/)
- [x] The title of the pull request describes an issue it addresses
- [x] If changes are extensive, then there is a sequence of easily reviewable commits
- [x] Each commit's message describes its purpose and effects
- [x] There are no behavior changes unnecessary for the stated purpose of the PR

Recommended:
- [x] Each commit compiles and runs on my machine without known undesirable changes of behavior
",
7296,2024-09-10T09:04:35Z,2024-09-10T09:55:35Z,Eism,0,0,1,13,2,1,1,[],,0,3063.0,0,0,23542.236599,0,1,0,[],,,,
7267,2024-09-06T07:05:57Z,2024-09-10T13:08:41Z,grliszas14,0,3,3,116,10,1,1,[],,0,367371.0,0,0,11952.301069,0,3,0,[],,,Resolves: https://github.com/audacity/audacity/issues/7258,"I would suggest moving this code into the model (`trimLeftClip` method) from the name it looks like this value will be used only in the insureVisible method - I suggest moving these constants to the method and then maybe it will be easier to choose a name  Let's also abandon searching for a parent by name and pass it directly through all the children?
I don't like the search approach because it's hard to control. Someone will delete or just rename the name and everything will break"
7302,2024-09-10T11:57:48Z,2024-09-10T12:34:50Z,igorkorsukov,0,0,5,905,72,1,1,[],,0,2223.0,0,0,13990.054762,0,5,0,[],,,,
7294,2024-09-09T21:12:38Z,2024-09-10T09:28:21Z,Gootector,2,0,1,132,1,1,1,[],42816.0,0,45686.0,0,0,23637.165902,0,1,0,['Gootector'],"@LWinterberg It's ready, checked many times. Please merge. I'm taking a break from translations. Anyway - everything has been fixed. I'd like to see all these fixes in the new official Audacity translation on the Transifex - ""by default"" and ""without historical translations"". @LWinterberg Thank you!",,"Update Polish Translation
Major fixes:
- translated pitch names
- fixed all strings translations

Greetings,
Gootector

Resolves: *(direct link to the issue)*

*(short description of the changes and the motivation to make the changes)*

<!-- Use ""x"" to fill the checkboxes below like [x] -->

- [x] I signed [CLA](https://www.audacityteam.org/cla/)
- [x] The title of the pull request describes an issue it addresses
- [x] If changes are extensive, then there is a sequence of easily reviewable commits
- [x] Each commit's message describes its purpose and effects
- [x] There are no behavior changes unnecessary for the stated purpose of the PR

Recommended:
- [x] Each commit compiles and runs on my machine without known undesirable changes of behavior
",
