pr_number,created_at,merged_at,author,number_of_comments,number_of_review_comments,number_of_commits,lines_of_code_changed,number_of_files_changed,number_of_reviewers,number_of_approvals,labels,time_to_first_response,number_of_assignees,review_duration,number_of_changes_requested,number_of_linked_issues,time_since_last_commit,number_of_reviews_requested,number_of_revisions,number_of_milestones,comment_authors,issue_comments_text,reviews_text,issue_text,review_comments
160822,2024-12-24T16:54:20Z,2024-12-26T18:31:41Z,AbdeMohlbi,1,0,1,1,1,2,2,[],170761.0,0,178644.0,0,0,-1351.953536,1,1,0,['auto-submit[bot]'],"auto label is removed for flutter/flutter/160822, due to This PR has not met approval requirements for merging. The PR author is not a member of flutter-hackers and needs 1 more review(s) in order to merge this PR.

- Merge guidelines: A PR needs at least one approved review if the author is already part of flutter-hackers or two member reviews if the author is not a flutter-hacker before re-applying the autosubmit label. __Reviewers__: If you left a comment approving, please use the ""approve"" review action instead.",,"## Pre-launch Checklist

- [x] I read the [Contributor Guide] and followed the process outlined there for submitting PRs.
- [x] I read the [Tree Hygiene] wiki page, which explains my responsibilities.
- [x] I read and followed the [Flutter Style Guide], including [Features we expect every widget to implement].
- [x] I signed the [CLA].
- [x] I followed the [breaking change policy] and added [Data Driven Fixes] where supported.
- [ ] I listed at least one issue that this PR fixes in the description above.
- [ ] I updated/added relevant documentation (doc comments with `///`).
- [ ] I added new tests to check the change I am making, or this PR is [test-exempt].
- [ ] All existing and new tests are passing.

If you need help, consider asking for advice on the #hackers-new channel on [Discord].

<!-- Links -->
[Contributor Guide]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md#overview
[Tree Hygiene]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md
[test-exempt]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md#tests
[Flutter Style Guide]: https://github.com/flutter/flutter/blob/main/docs/contributing/Style-guide-for-Flutter-repo.md
[Features we expect every widget to implement]: https://github.com/flutter/flutter/blob/main/docs/contributing/Style-guide-for-Flutter-repo.md#features-we-expect-every-widget-to-implement
[CLA]: https://cla.developers.google.com/
[flutter/tests]: https://github.com/flutter/tests
[breaking change policy]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md#handling-breaking-changes
[Discord]: https://github.com/flutter/flutter/blob/main/docs/contributing/Chat.md
[Data Driven Fixes]: https://github.com/flutter/flutter/blob/main/docs/contributing/Data-driven-Fixes.md
",
160549,2024-12-18T22:59:32Z,2024-12-23T22:13:16Z,matanlurey,2,4,10,399,5,2,1,[],160764.0,0,429227.0,0,0,244553.413794,0,10,0,['auto-submit[bot]'],"auto label is removed for flutter/flutter/160549, due to - The status or check suite [Mac mac_ios_engine](https://cr-buildbucket.appspot.com/build/8728006551132927105) has failed. Please fix the issues identified (or deflake) before re-applying this label.
 auto label is removed for flutter/flutter/160549, due to - The status or check suite [Merge Queue Guard](https://flutter-dashboard.appspot.com) has failed. Please fix the issues identified (or deflake) before re-applying this label.
One nit",One nit,"Closes https://github.com/flutter/flutter/issues/160527.

We don't use the Dart script anyway, and the shell script could be simplified to the single use in g3 (cl/688973229).","Is FLUTTER_ROOT set already? Simplified further, and fixed, and tested :) This needs to be origin/master if the google3 script is running from a fresh checkout. Done."
160695,2024-12-20T23:29:33Z,2024-12-24T00:58:04Z,matanlurey,1,2,8,1834,169,3,1,"['platform-ios', 'tool', 'engine', 'a: desktop']",3512.0,0,323301.0,0,0,175878.451567,0,8,0,['matanlurey'],"Some hardcoded-test assumptions still need to be updated. I'll fix those up Monday.Looks good from my end but I would let @andrewkolos take a look when he is available. Implementation LGTM. Feel free to re-request if tests end up needing significant re-writes Yes, this is what I was thinking.","Looks good from my end but I would let @andrewkolos take a look when he is available. Implementation LGTM. Feel free to re-request if tests end up needing significant re-writes Yes, this is what I was thinking.","Closes https://github.com/flutter/flutter/issues/160673.

Does the following:

- Renames `FlutterProjectType` to `FlutterTemplateType`; did some enhanced enum cleanups while at it
- Creates a hierarchy of `RemovedFlutterTemplateType` from `ParsedFlutterTemplateType`
- Removes the `skeleton` directory
- Merges `app_shared` back into `app` (no longer required now that `skeleton` is removed)

Final cleanups are tracked in https://github.com/flutter/flutter/issues/160692.

(Added @zanderso just to spot check this is what he meant by https://github.com/flutter/flutter/issues/160673#issuecomment-2557742347)","nit: external -> ""community"" or ""third-party"". @ericwindmill sgty?"
160788,2024-12-23T16:13:50Z,2024-12-23T21:11:21Z,eyebrowsoffire,4,0,2,1,1,1,1,['engine'],3020.0,0,17854.0,0,0,248270.210743,0,2,0,"['jtmcdole', 'eyebrowsoffire']","> We should make this a blocking CI step ASAP.

Blocking presubumits or blocking Mq? > > We should make this a blocking CI step ASAP.
> 
> Blocking presubumits or blocking Mq?

Blocking presubmits, not MQ. MQ has the `linux_web_engine` builder which just builds the web engine artifacts. This runs the tests, but we should make sure that these actually run in presubmit and postsubmit. It's an important signal, especially for dart SDK rolls and skia rolls. I believe we're deciding that all presubmits must pass; so we'll have to update Cocoon to record multiple stages _before_ completing the MQG. Good thing for the new year. Sorry, maybe I'm being confusing. I think just removing `bringup: true` should be fine for this change. It just needs to be another presubmit check that should pass before PRs are merged, it doesn't need to be part of the MQ guard (unless there's some other thing I'm misunderstanding).",,We should make this a blocking CI step ASAP.,
160351,2024-12-16T15:01:53Z,2024-12-16T19:50:50Z,engine-flutter-autoroll,0,0,6,2,1,1,1,[],,0,605888.0,0,0,269353.58217,0,6,0,[],,,"
https://github.com/flutter/packages/compare/56886ffe11ad...eb7358231e43

2024-12-16 49699333+dependabot[bot]@users.noreply.github.com [dependabot]: Bump org.jetbrains.kotlin:kotlin-gradle-plugin from 1.7.10 to 2.1.0 in /packages/shared_preferences/shared_preferences_android/example/android/app (flutter/packages#8306)
2024-12-14 engine-flutter-autoroll@skia.org Manual roll Flutter from 6966a2eef1e9 to 29a6c648ca4d (16 revisions) (flutter/packages#8295)
2024-12-13 jessiewong401@gmail.com Bump Camera Example Plugin Apps Targetsdk Versions (flutter/packages#8193)
2024-12-13 astivi@users.noreply.github.com [google_adsense] Adds H5 Games Ads support to package. (flutter/packages#7747)
2024-12-13 cepadilla@google.com [camera_android_camerax] Remove nonnull annotation from getDefaultPointSize (flutter/packages#8292)
2024-12-13 tarrinneal@gmail.com [shared_preferences] Adds Shared preferences as option in shared preferences async android (flutter/packages#7994)

If this roll has caused a breakage, revert this CL and stop the roller
using the controls here:
https://autoroll.skia.org/r/flutter-packages-flutter-autoroll
Please CC flutter-ecosystem@google.com on the revert to ensure that a human
is aware of the problem.

To file a bug in Flutter: https://github.com/flutter/flutter/issues/new/choose

To report a problem with the AutoRoller itself, please file a bug:
https://issues.skia.org/issues/new?component=1389291&template=1850622

Documentation for the AutoRoller is here:
https://skia.googlesource.com/buildbot/+doc/main/autoroll/README.md
",
158219,2024-11-05T23:58:44Z,2024-11-21T17:13:50Z,elliette,3,24,16,797,5,3,1,"['framework', 'f: material design', 'f: cupertino']",66402.0,0,4113217.0,0,0,272214.34057,0,16,0,"['kenzieschmoll', 'elliette']","Edge case: what if the widget a user wants to select is under the button? > Edge case: what if the widget a user wants to select is under the button?

Good point, modified the PR to add a button next to the ""exit selection mode"" button that will let the user move the controls from the left to the right of their device (see gif in PR description). FYI I tweaked the colors of the buttons so they would be visible against both dark/light backgrounds.

Material (dark and light)
<img width=""113"" alt=""Screenshot 2024-11-20 at 1 54 43 PM"" src=""https://github.com/user-attachments/assets/28908653-7c77-4c3d-948f-eb885a4534db"">

<img width=""101"" alt=""Screenshot 2024-11-20 at 1 54 25 PM"" src=""https://github.com/user-attachments/assets/7112c35b-ee75-4dfe-8f64-350fe5cf06be"">

Cupertino (dark and light)
<img width=""132"" alt=""Screenshot 2024-11-20 at 2 09 29 PM"" src=""https://github.com/user-attachments/assets/0d45b561-21e6-469c-aa36-8841bd148cea"">
<img width=""121"" alt=""Screenshot 2024-11-20 at 2 07 43 PM"" src=""https://github.com/user-attachments/assets/55ccb0ba-9759-42b8-8e4a-aaf9282d22e3"">

",,"Fixes https://github.com/flutter/devtools/issues/8155

Previously after enabling Widget Selection mode from DevTools and selecting a widget to inspect, a user would then have to click the on-device ""Select widget"" button before being able to select another widget. This was very confusing to users; we got multiple comments on our latest DevTools Survey that widget selection mode only worked the first time and was broken on subsequent selections.

Now, once ""Select widget mode"" is enabled from DevTools, any subsequent click is treated as a selection until the user exits from select widget mode either via DevTools or via the Exit Selection mode button. 

The user can re-position the Exit Selection button to either the left or the right of their device (this way they can select a widget beneath it).

![exit_select_mode_button](https://github.com/user-attachments/assets/e1170753-ade7-4226-baca-8f07667f0587)


Note: Previously this button was behind any widget selection overlays. This PR also updates the order of the `Stack` so that exit selection button is on top. 
","this is a breaking change, so we'll need to follow the flutter breaking change policy for this should this be on a short delay like the default tooltip behavior? formatting formatting Good point, done! Done! Done! Pinged on Flutter discord to get guidance on the process for this consider using `padding: EdgeInsets.zero` instead.  nit: can we put 32 and 40 into named consts? nit: this can be condensed
```
padding: const EdgeInsets.only(
  left: _leftAligned ? _kExitWidgetSelectionButtonPadding : 0.0,
  right: _leftAligned ? 0.0 : _kExitWidgetSelectionButtonPadding,
),
``` nit: this can be condensed
```
Positioned(
  left: _leftAligned ? _kExitWidgetSelectionButtonMargin :  null,
  right: _leftAligned ? null : _kExitWidgetSelectionButtonMargin,
  bottom: _kExitWidgetSelectionButtonMargin,
  child: buttonGroup,
)
``` cancel both of these timers in the dispose method and set them back to null. nit: we could check kIsWeb before adding the MouseRegion widget. e.g.

```dart
Widget child = GestureDetector(
  ...
  child: widget.button,
);
if (kIsWeb) {
  child = MouseRegion(
    ...
    child: child,
  );
}
``` can we add a test case for moving the button left and right using the arrow button? It seems this isn't considered a breaking change: https://discord.com/channels/608014603317936148/608018585025118217/1306392838224875621

But we should probably announce it after it has landed Done, thanks!
 Yes, done! Ooh thank you! Thanks, done! Done! I think my concern with that is we also want the MouseRegion for desktop apps, and I don't think there is a nice check for that like there is for web Yes, added! This broke https://pub.dev/packages/wiredash. Even if it is not considered a breaking change by the flutter policy, it still breaks user code.
Adding a deprecation next time would have been appreciated"
160645,2024-12-20T06:59:18Z,2024-12-22T19:03:27Z,jonahwilliams,4,2,6,8,1,2,1,['engine'],61461.0,0,216252.0,0,0,342346.817369,0,6,0,"['auto-submit[bot]', 'flutter-dashboard[bot]']","auto label is removed for flutter/flutter/160645, due to - The status or check suite [Linux linux_unopt](https://cr-buildbucket.appspot.com/build/8727989349245286833) has failed. Please fix the issues identified (or deflake) before re-applying this label.
 It looks like this pull request may not have tests. Please make sure to add tests before merging. If you need an exemption, contact ""@test-exemption-reviewer"" in the #hackers channel in [Discord](https://github.com/flutter/flutter/blob/master/docs/contributing/Chat.md) (don't just cc them here, they won't see it!).

If you are not sure if you need tests, consider this rule of thumb: the purpose of a test is to make sure someone doesn't accidentally revert the fix. Ask yourself, **is there anything in your PR that you feel it is important we not accidentally revert back to how it was before your fix?**

__Reviewers__: Read the [Tree Hygiene page](https://github.com/flutter/flutter/blob/master/docs/contributing/Tree-hygiene.md#how-to-review-code) and make sure this patch meets those guidelines before LGTMing. The test exemption team is a small volunteer group, so _all_ reviewers should feel empowered to ask for tests, without delegating that responsibility entirely to the test exemption group. auto label is removed for flutter/flutter/160645, due to - The status or check suite [Linux mac_android_aot_engine](https://cr-buildbucket.appspot.com/build/8727987355652147985) has failed. Please fix the issues identified (or deflake) before re-applying this label.
 auto label is removed for flutter/flutter/160645, due to - The status or check suite [Merge Queue Guard](https://flutter-dashboard.appspot.com) has failed. Please fix the issues identified (or deflake) before re-applying this label.
![LGTM stamp from a Japanese personal seal](https://github.com/user-attachments/assets/5881cd56-3948-42ca-9128-a7b64e7ba93f)",![LGTM stamp from a Japanese personal seal](https://github.com/user-attachments/assets/5881cd56-3948-42ca-9128-a7b64e7ba93f),"Fixes https://github.com/flutter/flutter/issues/159278

macOS intel devices uses MTLResourceStorageModeManaged which is still host visible ",Should this be `&&`? Doh
159962,2024-12-09T04:09:17Z,2024-12-20T10:02:06Z,AlexV525,0,29,3,92,2,2,1,"['framework', 'f: gestures']",,0,1239643.0,0,0,279557.210489,1,3,0,[],"Mostly LGTM, with some last small nits. Mostly LGTM, with some last small nits. Mostly LGTM, with some last small nits. LGTM modulo nits, thank you for your contribution!","Mostly LGTM, with some last small nits. Mostly LGTM, with some last small nits. Mostly LGTM, with some last small nits. LGTM modulo nits, thank you for your contribution!","Resolves #159961

## Pre-launch Checklist

- [x] I read the [Contributor Guide] and followed the process outlined there for submitting PRs.
- [x] I read the [Tree Hygiene] wiki page, which explains my responsibilities.
- [x] I read and followed the [Flutter Style Guide], including [Features we expect every widget to implement].
- [x] I signed the [CLA].
- [x] I listed at least one issue that this PR fixes in the description above.
- [x] I updated/added relevant documentation (doc comments with `///`).
- [x] I added new tests to check the change I am making, or this PR is [test-exempt].
- [x] I followed the [breaking change policy] and added [Data Driven Fixes] where supported.
- [x] All existing and new tests are passing.

If you need help, consider asking for advice on the #hackers-new channel on [Discord].

<!-- Links -->
[Contributor Guide]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md#overview
[Tree Hygiene]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md
[test-exempt]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md#tests
[Flutter Style Guide]: https://github.com/flutter/flutter/blob/main/docs/contributing/Style-guide-for-Flutter-repo.md
[Features we expect every widget to implement]: https://github.com/flutter/flutter/blob/main/docs/contributing/Style-guide-for-Flutter-repo.md#features-we-expect-every-widget-to-implement
[CLA]: https://cla.developers.google.com/
[flutter/tests]: https://github.com/flutter/tests
[breaking change policy]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md#handling-breaking-changes
[Discord]: https://github.com/flutter/flutter/blob/main/docs/contributing/Chat.md
[Data Driven Fixes]: https://github.com/flutter/flutter/blob/main/docs/contributing/Data-driven-Fixes.md
","This ensures that the corrected (dragged delta) only gets cleared after the end event has been dispatched. nit: prefer the shorter result on the left if possible. good catch! nit: prefer the shorter result on the left if possible. Sorry you mean `? null : Matrix4` is preferred? Is it necessary to calculate the drag update delta here? Can we use `event.position`, and `event.localPosition` directly instead? Yeah I think the original way this was written is preferred. Sure. Updated Not sure if the positions are valid for the details, but I'll double-check if your suggestion works. This looks like what `LongPressEndDetails` and `DragEndDetails` do for the most part. Further question about the transform: What is the initial idea about the transform calculation to the event? Are you referring to the logic in `_acceptDrag`? Yep, it used to be the only one that corrects the positions. I think that one can remain. It's mainly to handle `DragStartBehavior` iirc. Done update I think in all cases when `_acceptDrag` is called `_dragState == _DragState.accepted` will always be `true`. We should probably add an assert at the top of this method to verify that `assert(_dragState == _DragState.accepted)`. I'm leaning towards just leaving this logic inline instead of in a method since it is only called in one place. I think this case was originally only meant for cases when `DragStartBehavior.down` is set, see: https://github.com/flutter/flutter/blob/dd437c7a604ba2180ff6fba40f52613593af4f04/packages/flutter/lib/src/gestures/monodrag.dart#L775-L795 . When the behavior is set to `DragStartBehavior.down` we send a `start` event with the initial position from the down event and a `update` event with the delta since the down event vs when the behavior is set to `DragStartBehavior.start` we only send the `start` event with the initial position offset by the delta since the down event and no `update` event. nit: maybe this should say `The global position at which the pointer lifted from the screen.` similar to `LongPressEndDetails`.
 nit: maybe this should say `The local position in the coordinate system of the event receiver at which the pointer lifted from the screen.` Oh these are just copy-paste. Should I update them or keep them as previous? Thanks for the catch. It used to have multiple callers and now remains one only. Added the assertion. nit: I think we should add the comment back regarding only adding the delta for down behavior. This should be `= _getDeltaForDetails(event.localDelta);`. I'm leaning towards the updated version being more descriptive. It doesn't seem so. This is written as it originally was. There is another calculation right below which will transform the delta. Updating this will lead to unexpected behavior such as the moving delta being shorter than expected. https://ci.chromium.org/ui/p/flutter/builders/try/Mac%20framework_tests_impeller/16753/overview Thanks for catching that, let's leave it as is for now then. You can remove the line mentioning `LongPressEndDetails`, sorry if that was unclear."
160444,2024-12-17T15:58:32Z,2024-12-22T03:18:16Z,DanTup,0,5,5,38,2,3,1,['tool'],,0,416394.0,0,0,369051.725427,0,5,0,[],LGTM,LGTM,"There have been some reports of the Flutter daemon not starting up properly (for ex. https://github.com/flutter/flutter/issues/143625), but it turns out that when starting successfully, it just prints ""Starting device daemon..."" and then nothing more. This is confusing and can lead users to think other issues are because the daemon hasn't started properly.

There's not a great hook to print that this ""finished"" starting up (because it does async polling in the background), so I just updated the message of the text and moved it to after the creation of the daemon.

Fixes https://github.com/flutter/flutter/issues/143625

## Pre-launch Checklist

- [x] I read the [Contributor Guide] and followed the process outlined there for submitting PRs.
- [x] I read the [Tree Hygiene] wiki page, which explains my responsibilities.
- [x] I read and followed the [Flutter Style Guide], including [Features we expect every widget to implement].
- [x] I signed the [CLA].
- [x] I listed at least one issue that this PR fixes in the description above.
- [x] I updated/added relevant documentation (doc comments with `///`).
- [x] I added new tests to check the change I am making, or this PR is [test-exempt].
- [N/A] I followed the [breaking change policy] and added [Data Driven Fixes] where supported.
- [x] All existing and new tests are passing.

If you need help, consider asking for advice on the #hackers-new channel on [Discord].

<!-- Links -->
[Contributor Guide]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md#overview
[Tree Hygiene]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md
[test-exempt]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md#tests
[Flutter Style Guide]: https://github.com/flutter/flutter/blob/main/docs/contributing/Style-guide-for-Flutter-repo.md
[Features we expect every widget to implement]: https://github.com/flutter/flutter/blob/main/docs/contributing/Style-guide-for-Flutter-repo.md#features-we-expect-every-widget-to-implement
[CLA]: https://cla.developers.google.com/
[flutter/tests]: https://github.com/flutter/tests
[breaking change policy]: https://github.com/flutter/flutter/blob/main/docs/contributing/Tree-hygiene.md#handling-breaking-changes
[Discord]: https://github.com/flutter/flutter/blob/main/docs/contributing/Chat.md
[Data Driven Fixes]: https://github.com/flutter/flutter/blob/main/docs/contributing/Data-driven-Fixes.md
","Uber nit: I'd prefer for this to end with a period.
```suggestion
    globals.printStatus('Device daemon started.');
``` I can't believe I can finally say this, but we're going to need to run the formatter on this. ... I think we will, anyway? This line seems super long, but none of the checks are failing yet. Ah, I formatted this but noticed the rest of the file was not formatted. I last rebased this _before_ the formatter was enabled.

However, I can't currently sync with master because of https://github.com/flutter/flutter/issues/160704 (I can't run Flutter at all locally), so I'll rebase and fix this up once that is resolved. Looks like I didn't need to do this myself, as this passed here (because formatting wasn't enforced), and then the merge queue applied it to latest code and it passed there anyway :-)"
160700,2024-12-21T00:01:28Z,2024-12-22T04:07:16Z,eyebrowsoffire,2,0,4,20,2,1,1,['engine'],3.0,0,101150.0,0,0,396120.953549,0,4,0,"['auto-submit[bot]', 'flutter-dashboard[bot]']","It looks like this pull request may not have tests. Please make sure to add tests before merging. If you need an exemption, contact ""@test-exemption-reviewer"" in the #hackers channel in [Discord](https://github.com/flutter/flutter/blob/master/docs/contributing/Chat.md) (don't just cc them here, they won't see it!).

If you are not sure if you need tests, consider this rule of thumb: the purpose of a test is to make sure someone doesn't accidentally revert the fix. Ask yourself, **is there anything in your PR that you feel it is important we not accidentally revert back to how it was before your fix?**

__Reviewers__: Read the [Tree Hygiene page](https://github.com/flutter/flutter/blob/master/docs/contributing/Tree-hygiene.md#how-to-review-code) and make sure this patch meets those guidelines before LGTMing. The test exemption team is a small volunteer group, so _all_ reviewers should feel empowered to ask for tests, without delegating that responsibility entirely to the test exemption group. auto label is removed for flutter/flutter/160700, due to - The status or check suite [Windows build_tests_6_9](https://cr-buildbucket.appspot.com/build/8727967301651525025) has failed. Please fix the issues identified (or deflake) before re-applying this label.
![lgtm](https://user-images.githubusercontent.com/211513/32384589-a60f0e74-c078-11e7-9bc1-e5b5287aea9d.png)",![lgtm](https://user-images.githubusercontent.com/211513/32384589-a60f0e74-c078-11e7-9bc1-e5b5287aea9d.png),"We no longer pass `web_tests/artifacts` via CAS, so we need to remove it as a dependency.",
