pr_number,created_at,merged_at,author,number_of_comments,number_of_review_comments,number_of_commits,lines_of_code_changed,number_of_files_changed,number_of_reviewers,number_of_approvals,labels,time_to_first_response,number_of_assignees,review_duration,number_of_changes_requested,number_of_linked_issues,time_since_last_commit,number_of_reviews_requested,number_of_revisions,number_of_milestones,comment_authors,issue_comments_text,reviews_text,issue_text,review_comments
57778,2024-12-26T10:13:55Z,2024-12-26T16:00:39Z,ilenia-magoni,0,0,2,17,3,2,2,"['status: waiting review', 'scope: curriculum', 'scope: i18n', 'full stack cert']",,0,20804.0,0,0,-289.482526,0,2,0,[],,,"Checklist:

<!-- Please follow this checklist and put an x in each of the boxes, like this: [x]. It will ensure that our team takes your pull request seriously. -->

- [x] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [x] I have read and followed the [how to open a pull request guide](https://contribute.freecodecamp.org/how-to-open-a-pull-request/).
- [x] My pull request targets the `main` branch of freeCodeCamp.
- [x] I have tested these changes either locally on my machine, or GitPod.

<!--If your pull request closes a GitHub issue, replace the XXXXX below with the issue number.-->

Closes #57770

<!-- Feel free to add any additional description of changes below this line -->
",
57756,2024-12-25T12:25:37Z,2024-12-26T16:08:15Z,camperbot,0,0,1,2460,20,2,2,"['platform: learn', 'scope: i18n', 'crowdin-sync']",,0,99759.0,0,0,-746.39511,0,1,0,[],,,This PR was opened auto-magically by Crowdin.,
57757,2024-12-25T13:53:33Z,2024-12-26T16:07:48Z,camperbot,0,0,1,2,1,2,2,[],,0,94456.0,0,0,-719.393022,0,1,0,[],,,This PR was opened auto-magically by camperbot.,
57779,2024-12-26T12:15:33Z,2024-12-26T15:59:13Z,Pratheek2474,4,0,1,12,1,2,2,"['status: waiting review', 'scope: curriculum', 'full stack cert']",1206.0,0,13421.0,0,0,-202.597645,0,1,0,"['jdwilkin4', 'Pratheek2474', 'camper-chan[bot]']","Hey there,

Thanks for your interest in contributing. We appreciate your efforts, but this PR doesn't follow [our guidelines](https://contribute.freecodecamp.org/how-to-open-a-pull-request).

Do not worry, you should join our [Discord](https://discord.gg/KVUmVXA) server and ask for help in the `#contributors` channel. That will help other contributors guide you to get your PR ready for a review. 

Happy Contributing! i redid the commit based on the guidelines and naming conventions. can you please look into it? In the future, it is best to avoid PR titles like `""Update 67167835def3588873f339c6.md""` or `""Updated 2nd question""`. 


I changed your title to something more descriptive so now we know what you are working on 👍  Got it. I'll try to improve on commit messages.",,"Checklist:

<!-- Please follow this checklist and put an x in each of the boxes, like this: [x]. It will ensure that our team takes your pull request seriously. -->

- [x] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [x] I have read and followed the [how to open a pull request guide](https://contribute.freecodecamp.org/how-to-open-a-pull-request/).
- [x] My pull request targets the `main` branch of freeCodeCamp.
- [x] I have tested these changes either locally on my machine, or GitPod.

<!--If your pull request closes a GitHub issue, replace the XXXXX below with the issue number.-->

Closes #57773

<!-- Feel free to add any additional description of changes below this line -->

For my first Pull request, i changed a vague open ended question to a better one as suggested. I have replaced the answers as well as instructed.
",
57743,2024-12-24T15:39:39Z,2024-12-25T20:22:14Z,ilenia-magoni,0,0,1,14,1,2,2,"['status: waiting review', 'scope: curriculum', 'full stack cert']",,0,103355.0,1,0,70417.466946,0,1,0,[],"This is pretty good but I think it can better. 

```html
 <img
          src="" ""
          alt="" ""
        />
```

This image element has an appropriate `src` attribute and an appropriate `alt` attribute according to the tests. ","This is pretty good but I think it can better. 

```html
 <img
          src="" ""
          alt="" ""
        />
```

This image element has an appropriate `src` attribute and an appropriate `alt` attribute according to the tests. ","Checklist:

<!-- Please follow this checklist and put an x in each of the boxes, like this: [x]. It will ensure that our team takes your pull request seriously. -->

- [x] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [x] I have read and followed the [how to open a pull request guide](https://contribute.freecodecamp.org/how-to-open-a-pull-request/).
- [x] My pull request targets the `main` branch of freeCodeCamp.
- [x] I have tested these changes either locally on my machine, or GitPod.

<!--If your pull request closes a GitHub issue, replace the XXXXX below with the issue number.-->

Closes #XXXXX

<!-- Feel free to add any additional description of changes below this line -->

I have
- added optional chaining in two places to avoid errors in the console of not being able to read a property of undefined
- added a test to check that there is text in the `figcaption` elements
- changed a test so that it counts `li` elements only if they are in an `ul` element",
57777,2024-12-26T08:51:45Z,2024-12-26T15:21:01Z,Shiva-Sai-ssb,0,0,1,14,1,2,2,"['status: waiting review', 'scope: curriculum', 'full stack cert']",,0,23714.0,0,0,1732.517149,0,1,0,[],,,"Checklist:

<!-- Please follow this checklist and put an x in each of the boxes, like this: [x]. It will ensure that our team takes your pull request seriously. -->

- [x] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [x] I have read and followed the [how to open a pull request guide](https://contribute.freecodecamp.org/how-to-open-a-pull-request/).
- [x] My pull request targets the `main` branch of freeCodeCamp.
- [x] I have tested these changes either locally on my machine, or GitPod.

<!--If your pull request closes a GitHub issue, replace the XXXXX below with the issue number.-->

Closes #57766 

<!-- Feel free to add any additional description of changes below this line -->

- Fixed a typo in the question about duplicate id usage in HTML.
- Updated feedback for the first and second questions for improved clarity.
",
57754,2024-12-24T23:46:08Z,2024-12-25T20:01:54Z,a2937,0,0,1,22,5,2,2,"['status: waiting review', 'scope: curriculum', 'new english course']",,0,72946.0,0,0,71639.232449,0,1,0,[],Hi again Bob! Where were you?,Hi again Bob! Where were you?,"…punctuation

Checklist:

<!-- Please follow this checklist and put an x in each of the boxes, like this: [x]. It will ensure that our team takes your pull request seriously. -->

- [X] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [X] I have read and followed the [how to open a pull request guide](https://contribute.freecodecamp.org/how-to-open-a-pull-request/).
- [X] My pull request targets the `main` branch of freeCodeCamp.
- [X] I have tested these changes either locally on my machine, or GitPod.

<!--If your pull request closes a GitHub issue, replace the XXXXX below with the issue number.-->

Closes #57753

<!-- Feel free to add any additional description of changes below this line -->
I also updated the punctuation  where appropriate. ",
57751,2024-12-24T19:03:09Z,2024-12-24T20:36:17Z,Anurag-Subodh-Deshmukh,0,0,1,4,1,2,2,['scope: curriculum'],,0,19813.0,0,0,141751.315829,0,1,0,[],LGTM 👍 ,LGTM 👍 ,"Checklist:

- [x] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [x] I have read and followed the [how to open a pull request guide](https://contribute.freecodecamp.org/how-to-open-a-pull-request/).
- [x] My pull request targets the `main` branch of freeCodeCamp.
- [x] I have tested these changes either locally on my machine, or GitPod.

Closes #57724 

Description:

Replaced the === operator with ','
Also fixed the typo 
""Give as your answer as a string in its scientific notation"" was changed to ""Give your answer as a string in scientific notation"".",
57552,2024-12-17T09:08:03Z,2024-12-25T00:30:50Z,ojeytonwilliams,0,1,4,86,3,2,2,"['status: waiting review', 'platform: learn', 'scope: tools/scripts']",,0,660167.0,0,0,141903.550491,0,4,0,[],"Since Oliver is out, I went ahead and took over the PR.

If there is anything weird in this PR, it's not from Oliver 😄 ","Since Oliver is out, I went ahead and took over the PR.

If there is anything weird in this PR, it's not from Oliver 😄 ","Checklist:

<!-- Please follow this checklist and put an x in each of the boxes, like this: [x]. It will ensure that our team takes your pull request seriously. -->

- [x] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [x] I have read and followed the [how to open a pull request guide](https://contribute.freecodecamp.org/how-to-open-a-pull-request/).
- [x] My pull request targets the `main` branch of freeCodeCamp.
- [x] I have tested these changes either locally on my machine, or GitPod.

<!--If your pull request closes a GitHub issue, replace the XXXXX below with the issue number.-->

Enables quiz-challenge.spec.ts in anticipation of the Basic HTML module being released. This will fail in CI until we do that.

@huyenltnguyen I tried the flaky test a few times and couldn't get it to fail locally for either Chromium or Webkit. Maybe it's fine now? Anyways, I enabled that, too, so we can see if it works in CI.

Closes https://github.com/freeCodeCamp/freeCodeCamp/issues/57506

<!-- Feel free to add any additional description of changes below this line -->
","The button text now includes ""X of Y steps complete"" rather than just the chapter title. So I had to change the query from exact match to regex."
57740,2024-12-24T12:22:07Z,2024-12-25T00:29:26Z,huyenltnguyen,0,0,1,14,2,2,2,"['status: waiting review', 'platform: learn']",,0,43640.0,0,0,141988.052443,0,1,0,[],,,"Checklist:

<!-- Please follow this checklist and put an x in each of the boxes, like this: [x]. It will ensure that our team takes your pull request seriously. -->

- [x] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [x] I have read and followed the [how to open a pull request guide](https://contribute.freecodecamp.org/how-to-open-a-pull-request/).
- [x] My pull request targets the `main` branch of freeCodeCamp.
- [x] I have tested these changes either locally on my machine, or GitPod.

<!--If your pull request closes a GitHub issue, replace the XXXXX below with the issue number.-->

Fixes the display of feedback in multiple choice questions.

| Before | After |
| --- | --- |
| <img width=""783"" alt=""Screenshot 2024-12-24 at 19 20 07"" src=""https://github.com/user-attachments/assets/5b88f28a-a530-459c-bd7d-f5f340899b77"" /> | <img width=""781"" alt=""Screenshot 2024-12-24 at 19 15 43"" src=""https://github.com/user-attachments/assets/f3881c52-7d22-43da-99f5-be8c7a413462"" /> |

Note: This is just a temporary fix, and we would want to update the MCQ component to use the QuizQuestion component from `freecodecamp/ui` instead. 

Here is how QuizQuestion displays feedback: https://opensource.freecodecamp.org/ui/?path=/story/components-quizquestion--incorrect-with-answer-feedback&globals=backgrounds.value:!hex(1b1b32).


<!-- Feel free to add any additional description of changes below this line -->
",
57741,2024-12-24T13:06:04Z,2024-12-24T13:39:37Z,Anurag-Subodh-Deshmukh,0,0,1,6,1,2,2,"['status: waiting review', 'scope: curriculum', 'new english course']",,0,18645.0,0,0,164346.180961,0,1,0,[],"LGTM 👍

@Anurag-Subodh-Deshmukh Thank you for the PR and congratulations on your first contribution to this repo 🎉
We look forward to your next.

Happy contributing!","LGTM 👍

@Anurag-Subodh-Deshmukh Thank you for the PR and congratulations on your first contribution to this repo 🎉
We look forward to your next.

Happy contributing!","Checklist:

- [x] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [x] I have read and followed the [how to open a pull request guide](https://contribute.freecodecamp.org/how-to-open-a-pull-request/).
- [x] My pull request targets the `main` branch of freeCodeCamp.
- [x] I have tested these changes either locally on my machine, or GitPod.

Closes #57728 

Description:

I have fixed the typo physing to phishing in 
/curriculum/challenges/english/24-b1-english-for-developers/learn-how-to-describe-places-and-events/66b568bf34c34209600445ad.md",
57742,2024-12-24T13:56:36Z,2024-12-24T14:34:07Z,Bypythom,1,0,1,2,1,2,2,"['status: waiting review', 'scope: curriculum', 'new english course']",2022.0,0,2251.0,0,0,177708.558521,0,1,0,['Bypythom'],"@huyenltnguyen Thank you!! Hopefully, the first of many 😄 LGTM 👍

@Bypythom Thank you for the PR and congratulations on your first contribution to this repo 🎉
We look forward to your next.

Happy contributing!","LGTM 👍

@Bypythom Thank you for the PR and congratulations on your first contribution to this repo 🎉
We look forward to your next.

Happy contributing!","Checklist:

- [ x] I have read and followed the [contribution guidelines](https://contribute.freecodecamp.org).
- [x ] I have read and followed the [how to open a pull request guide](https://contribute.freecodecamp.org/how-to-open-a-pull-request/).
- [ x] My pull request targets the `main` branch of freeCodeCamp.
- [x ] I have tested these changes either locally on my machine, or GitPod.

Closes #57736

Removed the word showing from the sentence: [freeCodeCamp/curriculum/challenges/english/24-b1-english-for-developers/learn-how-to-describe-places-and-events/66c6193e7546c4e51cbf64c9.md](https://github.com/freeCodeCamp/freeCodeCamp/blob/94b07766f5c91e7c8d88e797ab56c01101af3f4d/curriculum/challenges/english/24-b1-english-for-developers/learn-how-to-describe-places-and-events/66c6193e7546c4e51cbf64c9.md?plain=1#L19)",
