pr_number,created_at,merged_at,author,number_of_comments,number_of_review_comments,number_of_commits,lines_of_code_changed,number_of_files_changed,number_of_reviewers,number_of_approvals,labels,time_to_first_response,number_of_assignees,review_duration,number_of_changes_requested,number_of_linked_issues,time_since_last_commit,number_of_reviews_requested,number_of_revisions,number_of_milestones,comment_authors,issue_comments_text,reviews_text,issue_text,review_comments
28924,2024-12-26T03:20:58Z,2024-12-26T21:43:34Z,dabzr,1,0,1,2,1,1,1,"['lgtm', '🤖:bug', 'size:XS']",6.0,0,66156.0,0,0,16082.611745,0,1,0,['vercel[bot]'],"[vc]: #ozcX+w77gxDvLF+plTnSVzmFI8BPDfScPRRLv0Rbxi0=:eyJpc01vbm9yZXBvIjp0cnVlLCJ0eXBlIjoiZ2l0aHViIiwicHJvamVjdHMiOlt7Im5hbWUiOiJsYW5nY2hhaW4iLCJyb290RGlyZWN0b3J5IjoiZG9jcyIsImluc3BlY3RvclVybCI6Imh0dHBzOi8vdmVyY2VsLmNvbS9sYW5nY2hhaW4vbGFuZ2NoYWluLzk0Zk5DMnFmOWsyQ2hpVHhiZGp1TmtvbVhvSnYiLCJwcmV2aWV3VXJsIjoibGFuZ2NoYWluLWdpdC1mb3JrLWRhYnpyLXBhdGNoLTEtbGFuZ2NoYWluLnZlcmNlbC5hcHAiLCJuZXh0Q29tbWl0U3RhdHVzIjoiSUdOT1JFRCIsImxpdmVGZWVkYmFjayI6eyJyZXNvbHZlZCI6MCwidW5yZXNvbHZlZCI6MCwidG90YWwiOjAsImxpbmsiOiIifX1dfQ==
**The latest updates on your projects**. Learn more about [Vercel for Git ↗︎](https://vercel.link/github-learn-more)


<details><summary>1 Skipped Deployment</summary>

| Name | Status | Preview | Comments | Updated (UTC) |
| :--- | :----- | :------ | :------- | :------ |
| **langchain** | ⬜️ Ignored ([Inspect](https://vercel.com/langchain/langchain/94fNC2qf9k2ChiTxbdjuNkomXoJv)) | [Visit Preview](https://langchain-git-fork-dabzr-patch-1-langchain.vercel.app) |  | Dec 26, 2024 3:21am |
</details>

",,"- **Description:**  
      This PR addresses an issue with the `stop_sequences` field in the `ChatGroq` class. Currently, the field is defined as:
```python
stop: Optional[Union[List[str], str]] = Field(None, alias=""stop_sequences"")
```  
This causes the language server (LSP) to raise an error indicating that the `stop_sequences` parameter must be implemented. The issue occurs because `Field(None, alias=""stop_sequences"")` is different compared to `Field(default=None, alias=""stop_sequences"")`.  

![image](https://github.com/user-attachments/assets/bfc34cb1-c664-4c31-b856-8f18419c7350)
To resolve the issue, the field is updated to:  
```python
stop: Optional[Union[List[str], str]] = Field(default=None, alias=""stop_sequences"")
```  
While this issue does not affect runtime behavior, it ensures compatibility with LSPs and improves the development experience.  
- **Issue:** N/A  
- **Dependencies:** None  

",
28918,2024-12-25T15:41:18Z,2024-12-26T19:45:12Z,andywer,1,0,1,2,1,1,1,"['lgtm', '🤖:bug', 'size:XS', 'community']",5.0,0,101035.0,0,0,23183.671412,0,1,0,['vercel[bot]'],"[vc]: #jvei6H0FHQlsYEwNMW9Dsv1FQ2RtqmLF9xDPFBS2Xlk=:eyJpc01vbm9yZXBvIjp0cnVlLCJ0eXBlIjoiZ2l0aHViIiwicHJvamVjdHMiOlt7Im5hbWUiOiJsYW5nY2hhaW4iLCJyb290RGlyZWN0b3J5IjoiZG9jcyIsImluc3BlY3RvclVybCI6Imh0dHBzOi8vdmVyY2VsLmNvbS9sYW5nY2hhaW4vbGFuZ2NoYWluL0ZQMWE5MnlNOUdpMUdKVmVzcFBXdG5EdFJRdVYiLCJwcmV2aWV3VXJsIjoibGFuZ2NoYWluLWdpdC1mb3JrLWFuZHl3ZXItcGF0Y2gtMS1sYW5nY2hhaW4udmVyY2VsLmFwcCIsIm5leHRDb21taXRTdGF0dXMiOiJJR05PUkVEIiwibGl2ZUZlZWRiYWNrIjp7InJlc29sdmVkIjowLCJ1bnJlc29sdmVkIjowLCJ0b3RhbCI6MCwibGluayI6IiJ9fV19
**The latest updates on your projects**. Learn more about [Vercel for Git ↗︎](https://vercel.link/github-learn-more)


<details><summary>1 Skipped Deployment</summary>

| Name | Status | Preview | Comments | Updated (UTC) |
| :--- | :----- | :------ | :------- | :------ |
| **langchain** | ⬜️ Ignored ([Inspect](https://vercel.com/langchain/langchain/FP1a92yM9Gi1GJVespPWtnDtRQuV)) | [Visit Preview](https://langchain-git-fork-andywer-patch-1-langchain.vercel.app) |  | Dec 25, 2024 3:41pm |
</details>

",,"In the async ClientResponse, `response.text` is not a string property, but an asynchronous function returning a string.",
28909,2024-12-24T23:46:03Z,2024-12-26T19:37:12Z,ahmadelmalah,1,0,2,7,1,1,1,"['lgtm', '🤖:docs', 'size:XS']",4.0,0,157869.0,0,0,23664.776221,0,2,0,['vercel[bot]'],"[vc]: #wPykHQEA8Ak14hDH1TJvOhkPhhJdDM+0BrOeSNyvis8=:eyJpc01vbm9yZXBvIjp0cnVlLCJ0eXBlIjoiZ2l0aHViIiwicHJvamVjdHMiOlt7Im5hbWUiOiJsYW5nY2hhaW4iLCJyb290RGlyZWN0b3J5IjoiZG9jcyIsImluc3BlY3RvclVybCI6Imh0dHBzOi8vdmVyY2VsLmNvbS9sYW5nY2hhaW4vbGFuZ2NoYWluLzZkREVIRlBDS1B0VU1mWml2OEV5SmpUaDFjaTEiLCJwcmV2aWV3VXJsIjoibGFuZ2NoYWluLWdpdC1mb3JrLWFobWFkZWxtYWxhaC11cGRhdGluZy1vdXRwdXQtbGFuZ2NoYWluLnZlcmNlbC5hcHAiLCJuZXh0Q29tbWl0U3RhdHVzIjoiREVQTE9ZRUQiLCJsaXZlRmVlZGJhY2siOnsicmVzb2x2ZWQiOjAsInVucmVzb2x2ZWQiOjAsInRvdGFsIjowLCJsaW5rIjoibGFuZ2NoYWluLWdpdC1mb3JrLWFobWFkZWxtYWxhaC11cGRhdGluZy1vdXRwdXQtbGFuZ2NoYWluLnZlcmNlbC5hcHAifX1dfQ==
**The latest updates on your projects**. Learn more about [Vercel for Git ↗︎](https://vercel.link/github-learn-more)

| Name | Status | Preview | Comments | Updated (UTC) |
| :--- | :----- | :------ | :------- | :------ |
| **langchain** | ✅ Ready ([Inspect](https://vercel.com/langchain/langchain/6dDEHFPCKPtUMfZiv8EyJjTh1ci1)) | [Visit Preview](https://langchain-git-fork-ahmadelmalah-updating-output-langchain.vercel.app) | 💬 [**Add feedback**](https://vercel.live/open-feedback/langchain-git-fork-ahmadelmalah-updating-output-langchain.vercel.app?via=pr-comment-feedback-link) | Dec 25, 2024 0:06am |

I just ran the cell twice. First time there was no rating, the second time there was. It's not a required field so it's reasonable for the model to leave it out. But it seems to be populated in the other examples so OK to update for consistency's sake.","I just ran the cell twice. First time there was no rating, the second time there was. It's not a required field so it's reasonable for the model to leave it out. But it seems to be populated in the other examples so OK to update for consistency's sake.","Out seems outdate, I ran the example several times and this is the updated output, one key-value pair was missing!
![image](https://github.com/user-attachments/assets/95231ce7-714e-43ac-b07e-57debded4735)
",
28916,2024-12-25T11:04:39Z,2024-12-26T19:31:58Z,bongsang,1,0,2,2,1,1,1,"['lgtm', '🤖:docs', 'size:XS']",4.0,0,116840.0,0,0,23979.608549,0,2,0,['vercel[bot]'],"[vc]: #B93e5VOSOdRZTHcbV3gBsoHTGuPs21QajGlizg1UVUk=:eyJpc01vbm9yZXBvIjp0cnVlLCJ0eXBlIjoiZ2l0aHViIiwicHJvamVjdHMiOlt7Im5hbWUiOiJsYW5nY2hhaW4iLCJyb290RGlyZWN0b3J5IjoiZG9jcyIsImluc3BlY3RvclVybCI6Imh0dHBzOi8vdmVyY2VsLmNvbS9sYW5nY2hhaW4vbGFuZ2NoYWluLzdqUVZmVlFQMXBpM1VHZ0FnTVRwbWpOS2NxQ2oiLCJwcmV2aWV3VXJsIjoibGFuZ2NoYWluLWdpdC1mb3JrLWJvbmdzYW5nLW1hc3Rlci1sYW5nY2hhaW4udmVyY2VsLmFwcCIsIm5leHRDb21taXRTdGF0dXMiOiJERVBMT1lFRCIsImxpdmVGZWVkYmFjayI6eyJyZXNvbHZlZCI6MCwidW5yZXNvbHZlZCI6MCwidG90YWwiOjAsImxpbmsiOiJsYW5nY2hhaW4tZ2l0LWZvcmstYm9uZ3NhbmctbWFzdGVyLWxhbmdjaGFpbi52ZXJjZWwuYXBwIn19XX0=
**The latest updates on your projects**. Learn more about [Vercel for Git ↗︎](https://vercel.link/github-learn-more)

| Name | Status | Preview | Comments | Updated (UTC) |
| :--- | :----- | :------ | :------- | :------ |
| **langchain** | ✅ Ready ([Inspect](https://vercel.com/langchain/langchain/7jQVfVQP1pi3UGgAgMTpmjNKcqCj)) | [Visit Preview](https://langchain-git-fork-bongsang-master-langchain.vercel.app) | 💬 [**Add feedback**](https://vercel.live/open-feedback/langchain-git-fork-bongsang-master-langchain.vercel.app?via=pr-comment-feedback-link) | Dec 25, 2024 11:13am |

Thank you!",Thank you!,"- Title: Fix typo to correct ""embedding"" to ""embeddings"" in PGVector initialization example

- Problem: There is a typo in the example code for initializing the PGVector class. The current parameter ""embedding"" is incorrect as the class expects ""embeddings"".

- Correction: The corrected code snippet is:

vector_store = PGVector(
    embeddings=embeddings,
    collection_name=""my_docs"",
    connection=""postgresql+psycopg://..."",
)",
28921,2024-12-25T20:00:53Z,2024-12-26T19:29:35Z,bengeois,1,0,1,2,1,1,1,"['lgtm', '🤖:docs', 'size:XS']",6.0,0,84522.0,0,0,24123.792109,0,1,0,['vercel[bot]'],"[vc]: #DeFbIDphioZTiKJT2/GoMSK0i6g/v+YS/tToPGTIXE8=:eyJpc01vbm9yZXBvIjp0cnVlLCJ0eXBlIjoiZ2l0aHViIiwicHJvamVjdHMiOlt7Im5hbWUiOiJsYW5nY2hhaW4iLCJyb290RGlyZWN0b3J5IjoiZG9jcyIsImluc3BlY3RvclVybCI6Imh0dHBzOi8vdmVyY2VsLmNvbS9sYW5nY2hhaW4vbGFuZ2NoYWluL0FURjhQQlFwNE11TkdKVjRpUXRTaEQyQ1lmVGoiLCJwcmV2aWV3VXJsIjoibGFuZ2NoYWluLWdpdC1mb3JrLWJlbmdlb2lzLXBhdGNoLTEtbGFuZ2NoYWluLnZlcmNlbC5hcHAiLCJuZXh0Q29tbWl0U3RhdHVzIjoiREVQTE9ZRUQiLCJsaXZlRmVlZGJhY2siOnsicmVzb2x2ZWQiOjAsInVucmVzb2x2ZWQiOjAsInRvdGFsIjowLCJsaW5rIjoibGFuZ2NoYWluLWdpdC1mb3JrLWJlbmdlb2lzLXBhdGNoLTEtbGFuZ2NoYWluLnZlcmNlbC5hcHAifX1dfQ==
**The latest updates on your projects**. Learn more about [Vercel for Git ↗︎](https://vercel.link/github-learn-more)

| Name | Status | Preview | Comments | Updated (UTC) |
| :--- | :----- | :------ | :------- | :------ |
| **langchain** | ✅ Ready ([Inspect](https://vercel.com/langchain/langchain/ATF8PBQp4MuNGJV4iQtShD2CYfTj)) | [Visit Preview](https://langchain-git-fork-bengeois-patch-1-langchain.vercel.app) | 💬 [**Add feedback**](https://vercel.live/open-feedback/langchain-git-fork-bengeois-patch-1-langchain.vercel.app?via=pr-comment-feedback-link) | Dec 25, 2024 8:09pm |

",,This PR fixes a typo in [Build a Retrieval Augmented Generation (RAG) App: Part 1](https://python.langchain.com/docs/tutorials/rag/),
28882,2024-12-23T05:34:39Z,2024-12-26T19:28:32Z,zep-hyr,1,2,1,1,1,2,1,"['lgtm', 'size:XS', 'community']",4.0,1,309233.0,0,0,24186.905979,0,1,0,['vercel[bot]'],"[vc]: #KOR+3aLBEkwrFKbzRnnQThDnG7PZ8WmLcXKulmV5XL0=:eyJpc01vbm9yZXBvIjp0cnVlLCJ0eXBlIjoiZ2l0aHViIiwicHJvamVjdHMiOlt7Im5hbWUiOiJsYW5nY2hhaW4iLCJyb290RGlyZWN0b3J5IjoiZG9jcyIsImluc3BlY3RvclVybCI6Imh0dHBzOi8vdmVyY2VsLmNvbS9sYW5nY2hhaW4vbGFuZ2NoYWluL1pTTkZvbmNWcnNlNGY5QlNTaUVwaTJRaVVMM0siLCJwcmV2aWV3VXJsIjoibGFuZ2NoYWluLWdpdC1mb3JrLXplcC1oeXItbWFzdGVyLWxhbmdjaGFpbi52ZXJjZWwuYXBwIiwibmV4dENvbW1pdFN0YXR1cyI6IkRFUExPWUVEIiwibGl2ZUZlZWRiYWNrIjp7InJlc29sdmVkIjowLCJ1bnJlc29sdmVkIjowLCJ0b3RhbCI6MCwibGluayI6ImxhbmdjaGFpbi1naXQtZm9yay16ZXAtaHlyLW1hc3Rlci1sYW5nY2hhaW4udmVyY2VsLmFwcCJ9fV19
**The latest updates on your projects**. Learn more about [Vercel for Git ↗︎](https://vercel.link/github-learn-more)

| Name | Status | Preview | Comments | Updated (UTC) |
| :--- | :----- | :------ | :------- | :------ |
| **langchain** | ✅ Ready ([Inspect](https://vercel.com/langchain/langchain/ZSNFoncVrse4f9BSSiEpi2QiUL3K)) | [Visit Preview](https://langchain-git-fork-zep-hyr-master-langchain.vercel.app) | 💬 [**Add feedback**](https://vercel.live/open-feedback/langchain-git-fork-zep-hyr-master-langchain.vercel.app?via=pr-comment-feedback-link) | Dec 24, 2024 0:20am |

",,"In the previous commit, the cached model key for this model was omitted.
When using the ""gpt-4o-2024-11-20"" model, the token count in the callback appeared as 0, and the cost was recorded as 0.

We add model and cost information so that the token count and cost can be displayed for the respective model.

- The message before modification is as follows.
```
Tokens Used: 0
Prompt Tokens: 0
Prompt Tokens Cached: 0 
Completion Tokens: 0  
Reasoning Tokens: 0
Successful Requests: 0
Total Cost (USD): $0.0
```

- The message after modification is as follows.
```
Tokens Used: 3783 
Prompt Tokens: 3625
Prompt Tokens Cached: 2560
Completion Tokens: 158
Reasoning Tokens: 0
Successful Requests: 1
Total Cost (USD): $0.010642500000000001
```","Is this correct? Are cached tokens not 0.00125, same as `gpt-4o-08-06`?

https://openai.com/api/pricing/ @ccurme Yes, I was wrong. I'm sorry. I fixed it."
28659,2024-12-11T00:33:51Z,2024-12-13T03:16:03Z,baskaryan,2,0,3,149,7,2,2,"['lgtm', 'size:L', 'community']",5.0,1,1250521.0,0,0,137748.753965,0,3,0,"['efriis', 'vercel[bot]']","[vc]: #JmWBhwQWlj38nkYSIlKDuPridGX5TRYLsaQy2bDBEBw=:eyJpc01vbm9yZXBvIjp0cnVlLCJ0eXBlIjoiZ2l0aHViIiwicHJvamVjdHMiOlt7Im5hbWUiOiJsYW5nY2hhaW4iLCJsaXZlRmVlZGJhY2siOnsicmVzb2x2ZWQiOjAsInVucmVzb2x2ZWQiOjAsInRvdGFsIjowLCJsaW5rIjoibGFuZ2NoYWluLWdpdC1iYWdhdHVyLWZpeHF1ZXJ5ZGJ0b29sbmFtZS1sYW5nY2hhaW4udmVyY2VsLmFwcCJ9LCJpbnNwZWN0b3JVcmwiOiJodHRwczovL3ZlcmNlbC5jb20vbGFuZ2NoYWluL2xhbmdjaGFpbi9BQkRMSHVmZ3JIOG1ERUd6ZEJ0YUZ4cmFHYWhaIiwibmV4dENvbW1pdFN0YXR1cyI6IkRFUExPWUVEIiwicm9vdERpcmVjdG9yeSI6ImRvY3MiLCJwcmV2aWV3VXJsIjoibGFuZ2NoYWluLWdpdC1iYWdhdHVyLWZpeHF1ZXJ5ZGJ0b29sbmFtZS1sYW5nY2hhaW4udmVyY2VsLmFwcCJ9XX0=
**The latest updates on your projects**. Learn more about [Vercel for Git ↗︎](https://vercel.link/github-learn-more)

| Name | Status | Preview | Comments | Updated (UTC) |
| :--- | :----- | :------ | :------- | :------ |
| **langchain** | ✅ Ready ([Inspect](https://vercel.com/langchain/langchain/ABDLHufgrH8mDEGzdBtaFxraGahZ)) | [Visit Preview](https://langchain-git-bagatur-fixquerydbtoolname-langchain.vercel.app) | 💬 [**Add feedback**](https://vercel.live/open-feedback/langchain-git-bagatur-fixquerydbtoolname-langchain.vercel.app?via=pr-comment-feedback-link) | Dec 11, 2024 2:28pm |

 @ccurme as in the backwards compat stubs? I care less there. Game for either. This seems like a good change in community regardlessShould we update `langchain` as well in this PR?",Should we update `langchain` as well in this PR?,,
28852,2024-12-20T18:03:13Z,2024-12-21T17:38:31Z,efriis,1,0,3,117,3,0,0,['size:L'],2.0,0,409003.0,0,0,138704.871454,0,3,0,['vercel[bot]'],"[vc]: #tg5zSC6r/PxoJ73lD11e4c7WUvAkBcZmsk0eL2piFqs=:eyJpc01vbm9yZXBvIjp0cnVlLCJ0eXBlIjoiZ2l0aHViIiwicHJvamVjdHMiOlt7Im5hbWUiOiJsYW5nY2hhaW4iLCJpbnNwZWN0b3JVcmwiOiJodHRwczovL3ZlcmNlbC5jb20vbGFuZ2NoYWluL2xhbmdjaGFpbi8yTlVidnNWWkd0VmNCb0pDOWgzYlBTUUhOYXpLIiwicHJldmlld1VybCI6ImxhbmdjaGFpbi1naXQtZXJpY2stZG9jcy1mcm9udG1hdHRlci1nZW4tbGFuZ2NoYWluLnZlcmNlbC5hcHAiLCJuZXh0Q29tbWl0U3RhdHVzIjoiREVQTE9ZRUQiLCJsaXZlRmVlZGJhY2siOnsicmVzb2x2ZWQiOjAsInVucmVzb2x2ZWQiOjAsInRvdGFsIjowLCJsaW5rIjoibGFuZ2NoYWluLWdpdC1lcmljay1kb2NzLWZyb250bWF0dGVyLWdlbi1sYW5nY2hhaW4udmVyY2VsLmFwcCJ9LCJyb290RGlyZWN0b3J5IjoiZG9jcyJ9XX0=
**The latest updates on your projects**. Learn more about [Vercel for Git ↗︎](https://vercel.link/github-learn-more)

| Name | Status | Preview | Comments | Updated (UTC) |
| :--- | :----- | :------ | :------- | :------ |
| **langchain** | ✅ Ready ([Inspect](https://vercel.com/langchain/langchain/2NUbvsVZGtVcBoJC9h3bPSQHNazK)) | [Visit Preview](https://langchain-git-erick-docs-frontmatter-gen-langchain.vercel.app) | 💬 [**Add feedback**](https://vercel.live/open-feedback/langchain-git-erick-docs-frontmatter-gen-langchain.vercel.app?via=pr-comment-feedback-link) | Dec 21, 2024 5:38pm |

",,,
27774,2024-10-31T04:11:54Z,2024-10-31T04:31:01Z,efriis,1,0,3,398,4,0,0,['size:L'],1.0,0,4778638.0,0,0,138948.960771,0,3,0,['vercel[bot]'],"[vc]: #dOr0FaEub7qgB841Fh06Eh+Zf64L7jpKTlMAvFVjZvk=:eyJpc01vbm9yZXBvIjp0cnVlLCJ0eXBlIjoiZ2l0aHViIiwicHJvamVjdHMiOlt7Im5hbWUiOiJsYW5nY2hhaW4iLCJpbnNwZWN0b3JVcmwiOiJodHRwczovL3ZlcmNlbC5jb20vbGFuZ2NoYWluL2xhbmdjaGFpbi9IQWhpNHYxQ1N2VkF4RktVSDNVQmR2a0dHdTh4IiwicHJldmlld1VybCI6ImxhbmdjaGFpbi1naXQtZXJpY2staW5mcmEtYnVpbGQtYXBpLWRvY3MtZnJvbS1hYTE4MmQtbGFuZ2NoYWluLnZlcmNlbC5hcHAiLCJuZXh0Q29tbWl0U3RhdHVzIjoiSUdOT1JFRCIsImxpdmVGZWVkYmFjayI6eyJyZXNvbHZlZCI6MCwidW5yZXNvbHZlZCI6MCwidG90YWwiOjAsImxpbmsiOiIifSwicm9vdERpcmVjdG9yeSI6ImRvY3MifV19
**The latest updates on your projects**. Learn more about [Vercel for Git ↗︎](https://vercel.link/github-learn-more)


<details><summary>1 Skipped Deployment</summary>

| Name | Status | Preview | Comments | Updated (UTC) |
| :--- | :----- | :------ | :------- | :------ |
| **langchain** | ⬜️ Ignored ([Inspect](https://vercel.com/langchain/langchain/HAhi4v1CSvVAxFKUH3UBdvkGGu8x)) | [Visit Preview](https://langchain-git-erick-infra-build-api-docs-from-aa182d-langchain.vercel.app) |  | Oct 31, 2024 4:15am |
</details>

",,,
28908,2024-12-24T20:56:07Z,2024-12-24T21:04:08Z,efriis,1,0,1,1,1,0,0,['size:XS'],6.0,0,482.0,0,0,191253.791412,0,1,0,['vercel[bot]'],"[vc]: #5TzfZYIH7zCbip/UBD1SO9eQc9mdJvVeOTcV/F6hqeQ=:eyJpc01vbm9yZXBvIjp0cnVlLCJ0eXBlIjoiZ2l0aHViIiwicHJvamVjdHMiOlt7Im5hbWUiOiJsYW5nY2hhaW4iLCJpbnNwZWN0b3JVcmwiOiJodHRwczovL3ZlcmNlbC5jb20vbGFuZ2NoYWluL2xhbmdjaGFpbi9CWm9YNkpzc1lobmpBdndDUkxxQVhQYzVuWmNDIiwicHJldmlld1VybCI6ImxhbmdjaGFpbi1naXQtZXJpY2stZG9jcy1jaGFuZ2UtbWFyZ2luLWxhbmdjaGFpbi52ZXJjZWwuYXBwIiwibmV4dENvbW1pdFN0YXR1cyI6IkRFUExPWUVEIiwibGl2ZUZlZWRiYWNrIjp7InJlc29sdmVkIjowLCJ1bnJlc29sdmVkIjowLCJ0b3RhbCI6MCwibGluayI6ImxhbmdjaGFpbi1naXQtZXJpY2stZG9jcy1jaGFuZ2UtbWFyZ2luLWxhbmdjaGFpbi52ZXJjZWwuYXBwIn0sInJvb3REaXJlY3RvcnkiOiJkb2NzIn1dfQ==
**The latest updates on your projects**. Learn more about [Vercel for Git ↗︎](https://vercel.link/github-learn-more)

| Name | Status | Preview | Comments | Updated (UTC) |
| :--- | :----- | :------ | :------- | :------ |
| **langchain** | ✅ Ready ([Inspect](https://vercel.com/langchain/langchain/BZoX6JssYhnjAvwCRLqAXPc5nZcC)) | [Visit Preview](https://langchain-git-erick-docs-change-margin-langchain.vercel.app) | 💬 [**Add feedback**](https://vercel.live/open-feedback/langchain-git-erick-docs-change-margin-langchain.vercel.app?via=pr-comment-feedback-link) | Dec 24, 2024 9:04pm |

",,,
