pr_number,created_at,merged_at,author,number_of_comments,number_of_review_comments,number_of_commits,lines_of_code_changed,number_of_files_changed,number_of_reviewers,number_of_approvals,labels,time_to_first_response,number_of_assignees,review_duration,number_of_changes_requested,number_of_linked_issues,time_since_last_commit,number_of_reviews_requested,number_of_revisions,number_of_milestones,comment_authors,issue_comments_text,reviews_text,issue_text,review_comments
30208,2024-12-26T03:51:28Z,2024-12-26T17:55:56Z,linbingquan,3,0,2,1,1,0,0,[],180.0,0,88153.0,0,0,-15021.943389,0,2,1,"['github-actions[bot]', 'linbingquan', 'sunag']","### 📦 Bundle size

_Full ESM build, minified and gzipped._

|| Before | After | Diff |
|:-:|:-:|:-:|:-:|
| WebGL | 339.44 <br> **79.06** | 339.44 <br> **79.06** | +0 B <br> **+0 B** |
| WebGPU | 488.27 <br> **135.68** | 488.27 <br> **135.68** | +0 B <br> **+0 B** |
| WebGPU Nodes | 487.74 <br> **135.56** | 487.74 <br> **135.56** | +0 B <br> **+0 B** |

### 🌳 Bundle size after tree-shaking

_Minimal build including a renderer, camera, empty scene, and dependencies._

|| Before | After | Diff |
|:-:|:-:|:-:|:-:|
| WebGL | 465.3 <br> **112.11** | 465.3 <br> **112.11** | +0 B <br> **+0 B** |
| WebGPU | 558.06 <br> **151.21** | 558.06 <br> **151.21** | +0 B <br> **+0 B** |
| WebGPU Nodes | 514.13 <br> **140.95** | 514.13 <br> **140.95** | +0 B <br> **+0 B** | I think exporting the method chaining is a flaw. I think we can prevent this issue if the user uses tree-shaking in their code.  I would suggest removing the current `addMethodChaining` method instead of adding a new one. > I think exporting the method chaining is a flaw.

@sunag Excuse me, What flaw do you mean, I think it is difficult to add custom method to `ShaderNode` without `addMethodChaining` in third-party library.


",,"Related PR: #30201

**Description**

Export `addMethodsChaining` method, users can be simplify the code.
",
30217,2024-12-27T01:56:12Z,2024-12-27T02:03:16Z,sunag,1,0,1,226,3,0,0,[],179.0,0,430.0,0,0,-6782.794343,0,1,1,['github-actions[bot]'],"### 📦 Bundle size

_Full ESM build, minified and gzipped._

|| Before | After | Diff |
|:-:|:-:|:-:|:-:|
| WebGL | 339.44 <br> **79.06** | 339.44 <br> **79.06** | +0 B <br> **+0 B** |
| WebGPU | 488.35 <br> **135.72** | 488.88 <br> **135.69** | +535 B <br> **-34 B** |
| WebGPU Nodes | 487.81 <br> **135.6** | 488.35 <br> **135.56** | +535 B <br> **-39 B** |

### 🌳 Bundle size after tree-shaking

_Minimal build including a renderer, camera, empty scene, and dependencies._

|| Before | After | Diff |
|:-:|:-:|:-:|:-:|
| WebGL | 465.3 <br> **112.11** | 465.3 <br> **112.11** | +0 B <br> **+0 B** |
| WebGPU | 558.14 <br> **151.24** | 558.8 <br> **151.3** | +657 B <br> **+61 B** |
| WebGPU Nodes | 514.21 <br> **140.99** | 514.87 <br> **141.08** | +657 B <br> **+92 B** |",,"Related issue: https://github.com/mrdoob/three.js/pull/30201, https://github.com/mrdoob/three.js/pull/30207#discussion_r1897786828

**Description**

Reverting to preferred style.",
30215,2024-12-26T18:52:28Z,2024-12-26T19:53:54Z,sunag,1,0,1,19,1,0,0,[],180.0,0,3689.0,0,0,15382.23946,0,1,1,['github-actions[bot]'],"### 📦 Bundle size

_Full ESM build, minified and gzipped._

|| Before | After | Diff |
|:-:|:-:|:-:|:-:|
| WebGL | 339.44 <br> **79.06** | 339.44 <br> **79.06** | +0 B <br> **+0 B** |
| WebGPU | 488.29 <br> **135.69** | 488.35 <br> **135.72** | +59 B <br> **+27 B** |
| WebGPU Nodes | 487.76 <br> **135.57** | 487.81 <br> **135.6** | +59 B <br> **+27 B** |

### 🌳 Bundle size after tree-shaking

_Minimal build including a renderer, camera, empty scene, and dependencies._

|| Before | After | Diff |
|:-:|:-:|:-:|:-:|
| WebGL | 465.3 <br> **112.11** | 465.3 <br> **112.11** | +0 B <br> **+0 B** |
| WebGPU | 558.08 <br> **151.22** | 558.14 <br> **151.24** | +59 B <br> **+25 B** |
| WebGPU Nodes | 514.15 <br> **140.96** | 514.21 <br> **140.99** | +59 B <br> **+26 B** |",,"**Description**

Improve error message if value is not a `THREE.Texture` or `null`.",
30214,2024-12-26T17:47:20Z,2024-12-26T18:02:10Z,sunag,1,0,2,2,1,0,0,[],168.0,0,897.0,0,0,22083.773968,0,2,1,['github-actions[bot]'],"### 📦 Bundle size

_Full ESM build, minified and gzipped._

|| Before | After | Diff |
|:-:|:-:|:-:|:-:|
| WebGL | 339.44 <br> **79.06** | 339.44 <br> **79.06** | +0 B <br> **+0 B** |
| WebGPU | 488.27 <br> **135.68** | 488.29 <br> **135.69** | +21 B <br> **+9 B** |
| WebGPU Nodes | 487.74 <br> **135.56** | 487.76 <br> **135.57** | +21 B <br> **+11 B** |

### 🌳 Bundle size after tree-shaking

_Minimal build including a renderer, camera, empty scene, and dependencies._

|| Before | After | Diff |
|:-:|:-:|:-:|:-:|
| WebGL | 465.3 <br> **112.11** | 465.3 <br> **112.11** | +0 B <br> **+0 B** |
| WebGPU | 558.06 <br> **151.21** | 558.08 <br> **151.22** | +21 B <br> **+8 B** |
| WebGPU Nodes | 514.13 <br> **140.95** | 514.15 <br> **140.96** | +21 B <br> **+7 B** |",,"Related issue: https://github.com/mrdoob/three.js/issues/30203, https://github.com/mrdoob/three.js/pull/29799

**Description**

Calculate the depth should be required for depth testing, but it won't necessarily write once it is disabled in the pipeline if `material.depthWrite` is `false`.",
30213,2024-12-26T12:38:23Z,2024-12-26T13:08:16Z,Mugen87,1,0,4,891,9,0,0,[],175.0,0,1794.0,0,0,39724.032503,0,4,1,['github-actions[bot]'],"### 📦 Bundle size

_Full ESM build, minified and gzipped._

|| Before | After | Diff |
|:-:|:-:|:-:|:-:|
| WebGL | 339.44 <br> **79.06** | 339.44 <br> **79.06** | +0 B <br> **+0 B** |
| WebGPU | 488.26 <br> **135.68** | 488.27 <br> **135.68** | +6 B <br> **+2 B** |
| WebGPU Nodes | 487.73 <br> **135.56** | 487.74 <br> **135.56** | +6 B <br> **+0 B** |

### 🌳 Bundle size after tree-shaking

_Minimal build including a renderer, camera, empty scene, and dependencies._

|| Before | After | Diff |
|:-:|:-:|:-:|:-:|
| WebGL | 465.3 <br> **112.11** | 465.3 <br> **112.11** | +0 B <br> **+0 B** |
| WebGPU | 558.05 <br> **151.21** | 558.06 <br> **151.21** | +6 B <br> **+1 B** |
| WebGPU Nodes | 514.13 <br> **140.95** | 514.13 <br> **140.95** | +6 B <br> **+2 B** |",,"Related issue: https://github.com/mrdoob/three.js/pull/30182

**Description**

Document more modules.",
30206,2024-12-26T02:38:59Z,2024-12-26T17:22:05Z,sunag,0,0,1,2,1,0,0,[],,0,52989.0,0,0,24493.06722,0,1,1,[],,,"Related issue: https://github.com/mrdoob/three.js/pull/30023#issuecomment-2558051040

**Description**

antialias for this example was more for testing for visual purposes since it didn't work without the PR Fix https://github.com/mrdoob/three.js/pull/30023",
30209,2024-12-26T08:23:19Z,2024-12-26T11:32:21Z,RenaudRohlinger,1,0,1,45,5,1,1,[],187.0,0,11342.0,0,0,45481.564719,0,1,0,['github-actions[bot]'],"### 📦 Bundle size

_Full ESM build, minified and gzipped._

|| Before | After | Diff |
|:-:|:-:|:-:|:-:|
| WebGL | 339.44 <br> **79.06** | 339.44 <br> **79.06** | +0 B <br> **+0 B** |
| WebGPU | 488.13 <br> **135.63** | 488.26 <br> **135.68** | +133 B <br> **+55 B** |
| WebGPU Nodes | 487.6 <br> **135.5** | 487.73 <br> **135.56** | +133 B <br> **+54 B** |

### 🌳 Bundle size after tree-shaking

_Minimal build including a renderer, camera, empty scene, and dependencies._

|| Before | After | Diff |
|:-:|:-:|:-:|:-:|
| WebGL | 465.3 <br> **112.11** | 465.3 <br> **112.11** | +0 B <br> **+0 B** |
| WebGPU | 557.92 <br> **151.16** | 558.05 <br> **151.21** | +133 B <br> **+52 B** |
| WebGPU Nodes | 514 <br> **140.89** | 514.13 <br> **140.95** | +133 B <br> **+57 B** |",,"Before:
<img width=""342"" alt=""Screenshot 2024-12-26 at 15 11 12"" src=""https://github.com/user-attachments/assets/8ed58451-f14e-4618-9864-7d6cc7076c3a"" />

After:
<img width=""342"" alt=""Screenshot 2024-12-26 at 15 11 09"" src=""https://github.com/user-attachments/assets/0e2f6bb5-c9a8-47be-8bdc-2e3e087b9e1e"" />

<!-- Remove the line below if is not relevant -->

*This contribution is funded by [Utsubo](https://utsubo.com)*
",
30201,2024-12-25T03:51:37Z,2024-12-26T02:17:44Z,linbingquan,1,2,4,226,3,2,0,[],178.0,0,83350.0,0,0,76176.008278,0,4,1,['github-actions[bot]'],"### 📦 Bundle size

_Full ESM build, minified and gzipped._

|| Before | After | Diff |
|:-:|:-:|:-:|:-:|
| WebGL | 339.44 <br> **79.06** | 339.44 <br> **79.06** | +0 B <br> **+0 B** |
| WebGPU | 488.67 <br> **135.59** | 488.13 <br> **135.63** | -535 B <br> **+36 B** |
| WebGPU Nodes | 488.13 <br> **135.48** | 487.6 <br> **135.5** | -535 B <br> **+28 B** |

### 🌳 Bundle size after tree-shaking

_Minimal build including a renderer, camera, empty scene, and dependencies._

|| Before | After | Diff |
|:-:|:-:|:-:|:-:|
| WebGL | 465.3 <br> **112.11** | 465.3 <br> **112.11** | +0 B <br> **+0 B** |
| WebGPU | 558.58 <br> **151.21** | 557.92 <br> **151.16** | -657 B <br> **-52 B** |
| WebGPU Nodes | 514.65 <br> **140.99** | 514 <br> **140.89** | -657 B <br> **-94 B** |",,"Related issue: #XXXX

**Description**

Simple verification. Should reduce the packing volume.
","I think the conversion methods are not matching the original.  For example: `addMethodChaining( 'toVec2', vec2 );` should be `toVec2: vec2` Sorry, my mistake"
30205,2024-12-26T01:55:43Z,2024-12-26T09:25:27Z,puxiao,0,0,1,105,2,1,1,[],,0,26984.0,0,0,53096.094208,0,1,1,[],,,,
30204,2024-12-25T15:06:16Z,2024-12-26T02:07:50Z,sunag,1,0,1,7,2,1,1,[],171.0,0,39698.0,0,0,79350.532746,0,1,1,['github-actions[bot]'],"### 📦 Bundle size

_Full ESM build, minified and gzipped._

|| Before | After | Diff |
|:-:|:-:|:-:|:-:|
| WebGL | 339.44 <br> **79.06** | 339.44 <br> **79.06** | +0 B <br> **+0 B** |
| WebGPU | 488.75 <br> **135.61** | 488.67 <br> **135.59** | -81 B <br> **-17 B** |
| WebGPU Nodes | 488.21 <br> **135.49** | 488.13 <br> **135.48** | -81 B <br> **-16 B** |

### 🌳 Bundle size after tree-shaking

_Minimal build including a renderer, camera, empty scene, and dependencies._

|| Before | After | Diff |
|:-:|:-:|:-:|:-:|
| WebGL | 465.3 <br> **112.11** | 465.3 <br> **112.11** | +0 B <br> **+0 B** |
| WebGPU | 558.66 <br> **151.23** | 558.58 <br> **151.21** | -81 B <br> **-22 B** |
| WebGPU Nodes | 514.73 <br> **141.01** | 514.65 <br> **140.99** | -81 B <br> **-22 B** |",,"Related issue: https://github.com/mrdoob/three.js/pull/30178

**Description**

I think it would be to disable the fog in the shadow-map, maybe preserve the fog make more sense for other nodes like `OutlineNode` or `SSAAPass` for example. @Mugen87 
",
